role,name,slug,showcased,uncredited,supporting,avatar_url
Waku / Prince of Space,Umemiya Tatsuo,"umemiya-tatsuo",false,false,false,/static/images/films/prince-of-space-1959/cast-avatars/umemiya-tatsuo-0.webp
Sachiko,Mine Hiroko,mine-hiroko,false,false,false,/static/images/films/prince-of-space-1959/cast-avatars/mine-hiroko-0.webp
Detective Takeda,Kanda Takashi,kanda-takashi,false,false,false,/static/images/films/prince-of-space-1959/cast-avatars/kanda-takashi-0.webp
Dr. Mashiro,Akashi Ushio,akashi-ushio,false,false,false,/static/images/films/prince-of-space-1959/cast-avatars/akashi-ushio-0.webp
Tabei,Hasebe Ken,hasebe-ken,false,false,false,/static/images/films/prince-of-space-1959/cast-avatars/hasebe-ken-0.webp
Colonel Watanabe,Masuda Junji,masuda-junji,false,false,false,/static/images/films/prince-of-space-1959/cast-avatars/masuda-junji-0.webp
Ambassador Phantom,Oka Jôji,oka-joji,false,false,false,/static/images/films/prince-of-space-1959/cast-avatars/oka-joji-0.webp
Mukai,Sudo Ken,sudo-ken,false,false,false,/static/images/films/prince-of-space-1959/cast-avatars/sudo-ken-0.webp
Detective Kawashima,Yamamoto Rin’ichi,yamamoto-rinichi,false,false,false,/static/images/films/prince-of-space-1959/cast-avatars/yamamoto-rinichi-0.webp
Colonel Matsuda,Orimoto Junkichi,orimoto-junkichi,false,false,false,/static/images/films/prince-of-space-1959/cast-avatars/orimoto-junkichi-0.webp
General Fukuhara,Saitô Shikô,saito-shiko,false,false,false,/static/images/films/prince-of-space-1959/cast-avatars/saito-shiko-0.webp
Sawamoto,Tatematsu Akira,tatematsu-akira,false,false,false,/static/images/films/prince-of-space-1959/cast-avatars/tatematsu-akira-0.webp
Shibazaki,Naruse Masahiko,naruse-masahiko,false,false,false,/static/images/films/prince-of-space-1959/cast-avatars/naruse-masahiko-0.webp
Sakai,Sahara Kôji,sahara-koji,false,false,false,/static/images/films/prince-of-space-1959/cast-avatars/sahara-koji-0.webp
Higashino,Sugi Giichi,sugi-giichi,false,false,false,/static/images/films/prince-of-space-1959/cast-avatars/sugi-giichi-0.webp
Ichirô,Asami Akira,asami-akira,false,false,false,/static/images/films/prince-of-space-1959/cast-avatars/asami-akira-0.webp
Makoto,Komori Kôji,komori-koji,false,false,false,/static/images/films/prince-of-space-1959/cast-avatars/komori-koji-0.webp
Kimiko,Tsuzuki Midori,tsuzuki-midori,false,false,false,/static/images/films/prince-of-space-1959/cast-avatars/tsuzuki-midori-0.webp
Dr. Naitô,Katayama Akira,katayama-akira,false,false,false,/static/images/films/prince-of-space-1959/cast-avatars/katayama-akira-0.webp
Commander Kôda,Sawa Shôken,sawa-shoken,false,true,true,/static/images/films/prince-of-space-1959/cast-avatars/sawa-shoken-0.webp
