japanese_role,japanese_name,role,name
製作,田中友幸,Producer,Tanaka Tomoyuki
,,,
原作,香山滋,Original Work,Kayama Shigeru
脚本,村田武雄,Screenplay,Murata Takeo
,,,
撮影,飯村正,Photography,Iimura Tadashi
美術,北辰雄,Art,Kita Tatsuo
録音,西川善男,Recording,Nishikawa Yoshio
照明,横井総一,Lighting,Yokoi Sôichi
音楽,佐藤勝,Music,Satô Masaru
,,,
特殊技術,円谷英二,Special Technology,Tsuburaya Eiji
,渡辺明,,Watanabe Akira
,向山宏,,Mukôyama Hiroshi
,城田正雄,,Shirota Masao
,,,
監督助手,岡本喜八,Assistant Director,Okamoto Kihachi
編集,庵原周一,Editing,Anbara Shûichi
音響効果,三縄一郎,Sound Effects,Minawa Ichirô
現像,東宝現像所,Developing,Toho Laboratory
製作担当者,黒田達雄,Production Manager,Kuroda Tatsuo
,,,
出演者,,Performers,
,,,
,宝田明,,Takarada Akira
,根岸明美,,Negishi Akemi
,河内桃子,,Kouchi Momoko
,,,
,中村伸郎,,Nakamura Nobuo
,堺左千夫,,Sakai Sachio
,髙堂國典,,Kôdô Kuninori
,小杉義男,,Kosugi Yoshio
,,,
,谷晃,,Tani Akira
,笠原健司,,Kasahara Kenji
,大村千吉,,Ômura Senkichi
,鈴木孝次,,Suzuki Kôji
,山本廉,,Yamamoto Ren
,瀬良明,,Sera Akira
,,,
,堤康久,,Tsutsumi Yasuhisa
,岡部正,,Okabe Tadashi
,西條悦郎,,Saijô Etsurô
,坪野鎌之,,Tsubono Kamayuki
,山田彰,,Yamada Akira
,大西康雄,,Ônishi Yasuo
,中山豊,,Nakayama Yutaka
,,,
,千葉一郎,,Chiba Ichirô
,熊谷二良,,Kumagai Jirô
,草間璋夫,,Kusama Akio
,加藤茂雄,,Katô Shigeo
,緒方燐作,,Ogata Rinsaku
,吉頂寺晃,,Kitchôji Akira
,勝本圭一郎,,Katsumoto Keiichirô
,,,
,佐藤功一,,Satô Kôichi
,福田和郎,,Fukuda Kazuo
,安芸津広,,Akitsu Hiroshi
,小沢経子,,Ozawa Keiko
,相良三四郎,,Sagara Sanshirô
,伊東隆,,Itô Takashi
,,,
監督,本多猪四郎,Director,Honda Ishirô
