japanese_role,japanese_name,role,name
企画,奥田久司,Planning,Okuda Hisashi
原案,髙木彬光,Story,Takagi Akimitsu
脚本,安達伸生,Screenplay,Adachi Nobuo
,,,
撮影,石本秀雄,Photography,Ishimoto Hideo
,大北治三郎,,Ôkita Jisaburô
音楽,西梧郎,Music,Nishi Gorô
録音,大角正夫,Recording,Ôsumi Masao
,倉島暢,,Kurashima Nobu
特殊撮影,円谷英二,Special Photography,Tsuburaya Eiji
,,,
美術,中村能久,Art,Nakamura Yoshihisa
照明,岡本健一,Lighting,Okamoto Ken’ichi
編集,西田重雄,Editing,Nishida Shigeo
装置,𠮷原多助,Apparatus,Yoshiwara Tasuke
装飾,水谷秀太郎,Decoration,Mizutani Hidetarô
背景,小倉清三郎,Scenery,Ogura Seizaburô
記録,牛田二三子,Script Supervisor,Ushida Fumiko
,,,
美粧,日樫嘉雄,Makeup,Hikashi Yoshio
結髪,中井つる,Hairdressing,Nakai Tsuru
衣裳,長谷川綾子,Costumes,Hasegawa Ayako
スチール,小牧照,Still Photography,Komaki Teru
演技事務,久松健二,Actor Affairs,Hisamatsu Kenji
進行,大橋和彦,Progression,Ôhashi Kazuhiko
製作主任,安達畄雄,Production Manager,Adachi Takuo
,,,
透明人間,?,Invisible Man,?
,,,
中里真知子,喜多川千鶴,Nakazato Machiko,Kitagawa Chizuru
水城龍子,水の江滝子,Mizuki Ryûko,Mizunoe Takiko
瀬木恭介,夏川大二郎,Seki Kyôsuke,Natsukawa Daijirô
松原捜査主任,羅門光三郎,Chief Inspector Matsubara,Ramon Mitsusaburô
中里謙造,月形龍之介,Nakazato Kenzô,Tsukigata Ryûnosuke
,,,
河辺一郎,杉山剛,Kawabe Ichirô,Sugiyama Tsuyoshi
黒川俊二,小柴幹治,Kurokawa Shunji,Koshiba Kanji
杉本音治,上田𠮷二郎,Sugimoto Otoji,Ueda Kichijirô
谷本長官,上田寛,Director Tanimoto,Ueda Hiroshi
宮沢梅夫,南部章三,Miyazawa Ueno,Nanbu Shôzô
畑中義平,荒木忍,Hatanaka Yoshihira,Araki Shinobu
,,,
笹谷敬三,伊達三郎,Sasaya Keizô,Date Saburô
別荘番弥吉,葉山富之輔,Villa Caretaker Yakichi,Hayama Tominosuke
鈴木刑事,藤川準,Detective Suzuki,Fujikawa Jun
アパート管理人太田,芝田総二,Apartment Manager Ôta,Shibata Sôji
店貟山口,矢野武男,Store Employee Yamaguchi,Yano Takeo
商人佐々木,玉置一恵,Merchant Sasaki,Tamaki Kazue
酔漢,湯浅豪啓,Drunkard,Yuasa Hidehiro
,,,
山下実,片桐恒男,Yamashita Minoru,Katagiri Tsuneo
木下辰三,清水明,Kinoshita Tatsuzô,Shimizu Akira
田中刑事,由利道夫,Detective Tanaka,Yuri Michio
巡廻の警官,志賀明,Patrolling Police Officer,Shiga Akira
𠮷村健吉,郷田三郎,Yoshimura Kenkichi,Gôda Saburô
警官,山田智也,Police Officer,Yamada Tomoya
,,,
長曾我部君子,大美輝子,Chôsokabe Kimiko,Ômi Teruko
中里素子,髙原朝子,Nakazato Motoko,Takahara Asako
中里敏子,六條奈美子,Nakazato Toshiko,Rokujô Namiko
店貟鈴木,上野陽子,Shop Employee Suzuki,Ueno Yôko
ファン少女,富士原比那子,Fan Girl,Fujihara Hinako
,白木伸子,,Shiraki Nobuko
,,,
監督,安達伸生,Director,Adachi Nobuo
,福島茂博,,Fukushima Shigehiro
