japanese_role,japanese_name,role,name
製作,永田秀雅,Producer,Nagata Hidemasa
,,,
企画,山野利一,Planning,Yamano Toshikazu
原案,山野利一,Story,Yamano Toshikazu
脚本,高岩肇,Screenplay,Takaiwa Hajime
,,,
撮影,村井博,Photography,Murai Hiroshi
録音,飛田喜美雄,Recording,Tobita Kimio
照明,米山勇,Lighting,Yoneyama Isamu
,佐藤寬,,Satô Misaki
美術,後藤岱二郎,Art,Gotô Taijirô
特殊技術,的場徹,Special Technology,Matoba Tôru
,,,
装置,石田亀蔵,Apparatus,Ishida Kamezô
装飾,隠田茂治,Decoration,Onden Shigeharu
小道具,勝又謙録,Props,Katsumata Kenroku
背景,清水豊,Scenery,Shimizu Yutaka
園芸,阪根音二郎,Gardening,Sakane Otojirô
移動効果,大久保松雄,Movement Effects,Ôkubo Matsuo
工作,田村誠,Construction,Tamura Makoto
電飾,杉崎文夫,Electric Decoration,Sugisaki Fumio
,,,
技髪,牧野正雄,Hair Technique,Makino Masao
結髪,須々木糸子,Hairdressing,Suzuki Itoko
衣裳,筒井照子,Costumes,Tsutsui Teruko
音響効果,花岡勝次郎,Sound Effects,Hanaoka Katsujirô
スチール,宮崎忠男,Still Photography,Miyazaki Tadao
俳優事務,大堀善造,Actor Affairs,Ôhori Zenzô
記録,立花慎子,Script Supervisor,Tachibana Shinko
,,,
撮影助手,浅井宏彦,Photography Assistant,Asai Hirohiko
特殊助手,藤井和文,Special Assistant,Fujii Kazufumi
録音助手,桑原雄一,Recording Assistant,Kuwabara Yûichi
照明助手,千品正治,Lighting Assistant,Chishina Masaharu
,臼井義孝,,Usui Yoshitaka
美術助手,千田隆,Art Assistant,Senda Takashi
進行係,大岡弘光,Progression,Ôoka Hiromitsu
,,,
音楽,大久保徳二郎,Music,Ôkubo Tokujirô
編集,名取功男,Editing,Natori Isao
助監督,石田潔,Assistant Director,Ishida Kiyoshi
製作主任,奈良原義雄,Production Manager,Narahara Yoshio
振付,小川卓爾,Choreography,Ogawa Takuji
,,,
,,,
出演者,,Performers,
,,,
,北原義郎,,Kitahara Yoshirô
,品川隆二,,Shinagawa Ryûji
,叶順子,,Kanô Junko
,毛利郁子,,Môri Ikuko
,,,
,鶴見丈二,,Tsurumi Jôji
,浜口喜博,,Hamaguchi Yoshihiro
,南部彰三,,Nanbu Shôzô
,見明凡太朗,,Miake Bontarô
,伊澤一郎,,Izawa Ichirô
,,,
,中條静夫,,Chûjô Shizuo
,杉田康,,Sugita Kô
,花布辰男,,Hanabu Tatsuo
,春本冨士夫,,Harumoto Fujio
,伊東光一,,Itô Kôichi
,遠藤哲平,,Endô Tetsupei
,原田詃,,Harada Gen
,,,
,夏木章,,Natsuki Shô
,杉森麟,,Sugimori Rin
,川島祥二,,Kawashima Shôji
,酒井三郎,,Sakai Saburô
,槙俊夫,,Maki Toshio
,高見貫,,Takami Nuki
,此木透,,Kunogi Tôru
,松山浩二,,Matsuyama Kôji
,,,
,高村榮一,,Takamura Eiichi
,山口健,,Yamaguchi Ken
,隅田一男,,Sumida Kazuo
,竹内哲郎,,Takeuchi Tetsurô
,広川雅英,,Hirokawa Masahide
,飛田喜佐夫,,Tobita Kisao
,高田信二,,Takada Shinji
,石井竜一,,Ishii Ryûichi
,,,
,松尾親代,,Matsuo Chikayo
,松平直子,,Matsudaira Naoko
,橋本敏子,,Hashimoto Toshiko
,持留絹子,,Mochidome Kinuko
,阿南京子,,Anami Kyôko
,三宅川和子,,Miyakegawa Kazuko
,,,
監督,村山三男,Director,Murayama Mitsuo
