japanese_role,japanese_name,role,name
企画,園田実彦,Planning,Sonoda Sanehiko
原作,伊上勝,Original Work,Inoue Masaru
,「少年」連載 宣弘社プロ、テレビ映画より,,"From the “Shonen” Magazine Serial by Senkôsha Productions, Based on the TV Series"
脚本,森田新,Screenplay,Morita Shin

撮影,飯村雅彦,Photography,Îmura Masahiko
特撮撮影,宝来正三,Special Effects Photography,Hôrai Shôzô
録音,広上庄三,Recording,Hirogami Shôzô
照明,銀屋謙蔵,Lighting,Ginya Kenzô
美術,中村修一郎,Art,Nakamura Shûichirô
助監督,佐藤肇,Assistant Director,Satô Hajime

音楽,服部克久,Music,Hattori Katsuhisa
編集,長沢嘉樹,Editing,Nagasawa Yoshiki
進行主任,西井剛,Progression Manager,Nishii Tsuyoshi
主題歌,東芝レコード,Theme Song,Toshiba Records
作詩,伊上勝,Lyrics,Inoue Masaru
作曲,服部克久,Composition,Hattori Katsuhisa
遊星王子の歌,,Song of Prince of Space
唄,大江洋一,Vocals,Ôe Yôichi

出演者,,Performers

,梅宮辰夫,,Umemiya Tatsuo
,峰博子,,Mine Hiroko

,神田隆,,Kanda Takashi
,明石潮,,Akashi Ushio
,長谷部健,,Hasebe Ken
,増田順司,,Masuda Junji
,岡譲司,,Oka Jôji

,須藤健,,Sudo Ken
,山本麟一,,Yamamoto Rin’ichi
,織本順吉,,Orimoto Junkichi
,斎藤紫香,,Saitô Shikô
,立松晃,,Tatematsu Akira

,成瀬昌彦,,Naruse Masahiko
,岩城力,,Iwaki Rikiya
,佐原広二,,Sahara Kôji
,萩原満,,Hagiwara Mitsuru
,杉義一,,Sugi Giichi

,朝見朗,,Asami Akira
,小森甲二,,Komori Kôji
,都築みどり,,Tsuzuki Midori
,日尾孝司,,Hio Kôji
,片山滉,,Katayama Akira
,植木正夫,,Ueki Masao

監督,若林栄二郎,Director,Wakabayashi Eijirô
