slug,showcased,title,series_name,release_date,japanese_title,url,runtime,poster_url,transliteration,translation,aliases_json
13-assassins-2010,TRUE,13 Assassins,,2010-09-25,十三人の刺客,/films/13-assassins-2010,141,/static/images/films/posters/13-assassins-2010.webp,Jûsan'nin No Shikaku,13 Assassins,[]
20th-century-boys-1-the-beginning-of-the-end-2008,TRUE,20th Century Boys 1: The Beginning of the End,20th Century Boys,2008-08-30,本格科学冒険映画 20世紀少年 第1章 終わりの始まり,/films/20th-century-boys-1-the-beginning-of-the-end-2008,142,/static/images/films/posters/20th-century-boys-1-the-beginning-of-the-end-2008.webp,Honkaku Kagaku Bôken Eiga Nijû Seiki Shônen Dai Ichi-Shô Owari No Hajimari,Real Science Adventure Movie 20th Century Boys Chapter 1 The Beginning of the End,[]
20th-century-boys-2-the-last-hope-2009,TRUE,20th Century Boys 2: The Last Hope,20th Century Boys,2009-01-31,本格科学冒険映画 20世紀少年 第2章 最後の希望,/films/20th-century-boys-2-the-last-hope-2009,139,/static/images/films/posters/20th-century-boys-2-the-last-hope-2009.webp,Honkaku Kagaku Bôken Eiga Nijû Seiki Shônen Dai Ni-Shô Saigo No Kibô,Real Science Adventure Movie 20th Century Boys Chapter 2 Last Hope,[]
20th-century-boys-3-redemption-2009,TRUE,20th Century Boys 3: Redemption,20th Century Boys,2009-08-29,本格科学冒険映画 20世紀少年 最終章 ぼくらの旗,/films/20th-century-boys-3-redemption-2009,155,/static/images/films/posters/20th-century-boys-3-redemption-2009.webp,Honkaku Kagaku Bôken Eiga Nijû Seiki Shônen Saishû-Shô Boku-ra No Hata,Real Science Adventure Movie 20th Century Boys Final Chapter Our Flag,[]
a-keg-of-powder-1964,FALSE,A Keg of Powder,International Secret Police,1964-12-09,国際秘密警察 火薬の樽
adventure-of-kigan-castle-1966,TRUE,The Adventure of Kigan Castle,,1966-04-28,奇巌城の冒険,/films/adventure-of-kigan-castle-1966,100,/static/images/films/posters/adventure-of-kigan-castle-1966.webp,Kiganjô No Bôken,The Adventure of Strange Rock Castle,"[{""alias"":""The Adventure of Taklamakan"",""context"":""International Title""}]"
adventures-of-zatoichi-1964,TRUE,Adventures of Zatoichi,Zatoichi,1964-12-30,座頭市関所破り,/films/adventures-of-zatoichi-1964,86,/static/images/films/posters/adventures-of-zatoichi-1964.webp,Zatôichi Sekishoyaburi,Zatôichi Checkpoint Breaker,[]
age-of-assassins-1967,FALSE,The Age of Assassins,,1967-02-04,殺人狂時代,,,,,,
akira-1988,TRUE,Akira,,1988-07-16,アキラ,/films/akira-1988,124,/static/images/films/posters/akira-1988.webp,Akira,Akira,[]
alive-2003,TRUE,Alive,,2003-06-21,ALIVE,/films/alive-2003,150,/static/images/films/posters/alive-2003.webp,,,[]
all-monsters-attack-1969,TRUE,All Monsters Attack,Godzilla,1969-12-20,ゴジラ・ミニラ・ガバラ オール怪獣大進撃,/films/all-monsters-attack-1969,70,/static/images/films/posters/all-monsters-attack-1969.webp,Gojira Minira Gabara Ôru Kaijû Daishingeki,Godzilla Minilla Gabara All Monsters Great Attack,"[{""alias"":""Godzilla's Revenge"",""context"":""American Theatrical Release""}]"
all-round-appraiser-q-the-eyes-of-mona-lisa-2014,TRUE,All-Round Appraiser Q: The Eyes of Mona Lisa,,2014-05-31,万能鑑定士Q -モナ・リザの瞳-,/films/all-round-appraiser-q-the-eyes-of-mona-lisa-2014,119,/static/images/films/posters/all-round-appraiser-q-the-eyes-of-mona-lisa-2014.webp,Hon'nô Kanetei-Shi Q Mona Riza No Hitomi,All-Round Appraiser Q Eyes of Mona Lisa,[]
always-sunset-on-third-street-2-2007,TRUE,Always: Sunset on Third Street 2,Always: Sunset on Third Street,2007-11-03,ALWAYS 続・三丁目の夕日,/films/always-sunset-on-third-street-2-2007,146,/static/images/films/posters/always-sunset-on-third-street-2-2007.webp,Always Zoku Sanchôme No Yûhi,Always Continued Sunset on Third Street,[]
